symbol1,symbol2,p_value
XTZUSDT,YGGUSDT,5.023307954514191e-06
DGBUSDT,DIAUSDT,5.036107075333898e-06
ETHFIUSDT,MAVUSDT,5.264324750254019e-06
BBUSDT,VELODROMEUSDT,5.329756216771341e-06
PIXELUSDT,RIFUSDT,5.398134610047509e-06
BNTUSDT,IOTAUSDT,5.55034695674114e-06
CVCUSDT,YGGUSDT,5.620978298874065e-06
IOTAUSDT,ZENUSDT,5.693042724529756e-06
FLMUSDT,ONTUSDT,5.865684637071186e-06
STRKUSDT,XAIUSDT,5.95048301241067e-06
PHBUSDT,THEUSDT,6.071740944895006e-06
FARMUSDT,XECUSDT,6.13587994672274e-06
ONTUSDT,OXTUSDT,6.433289667604119e-06
AXSUSDT,QIUSDT,6.593843360048687e-06
FLOWUSDT,PHAUSDT,6.894001077855775e-06
BNTUSDT,ONTUSDT,7.644660289025389e-06
C98USDT,ONGUSDT,8.033495528681347e-06
METISUSDT,RONINUSDT,8.39230727552214e-06
CAKEUSDT,DCRUSDT,8.526916879891229e-06
CAKEUSDT,SXPUSDT,9.069896979233096e-06
MDTUSDT,PYTHUSDT,9.651697145859234e-06
BANDUSDT,DIAUSDT,9.865909151699294e-06
MANTAUSDT,TIAUSDT,9.896004533338567e-06
DASHUSDT,OXTUSDT,9.968902861611764e-06
NKNUSDT,PUNDIXUSDT,1.0141375633886118e-05
PIXELUSDT,XAIUSDT,1.0236566323048107e-05
ACEUSDT,BLURUSDT,1.023906663894889e-05
NFPUSDT,PIXELUSDT,1.0271859439662973e-05
BNTUSDT,DASHUSDT,1.057021088244065e-05
VETUSDT,XVGUSDT,1.063431325835954e-05
DYMUSDT,STRKUSDT,1.1098326405488055e-05
DOTUSDT,YGGUSDT,1.1450887892439832e-05
MEMEUSDT,NFPUSDT,1.1749699788401361e-05
DGBUSDT,FLMUSDT,1.2207485061578947e-05
MAGICUSDT,TIAUSDT,1.233470771989101e-05
CATIUSDT,THEUSDT,1.2587206431345806e-05
EGLDUSDT,MOVRUSDT,1.3279186688224256e-05
ALTUSDT,PIXELUSDT,1.4020527708944786e-05
GHSTUSDT,WUSDT,1.4263820499609665e-05
NFPUSDT,RDNTUSDT,1.4719211795724665e-05
1INCHUSDT,ONTUSDT,1.477691250763236e-05
BARUSDT,NEOUSDT,1.5398367054891287e-05
ICXUSDT,WANUSDT,1.5457197208642806e-05
1000CATUSDT,MEUSDT,1.581172764810788e-05
COMPUSDT,SUSHIUSDT,1.6628352948869564e-05
FLMUSDT,NEOUSDT,1.7017481251145146e-05
NTRNUSDT,STRKUSDT,1.7937115627909497e-05
ALCXUSDT,AMPUSDT,1.810281186419134e-05
ALGOUSDT,MINAUSDT,1.8198101214891405e-05
BNTUSDT,ICXUSDT,1.831235658258726e-05
BANDUSDT,OXTUSDT,1.8537029946597738e-05
COMPUSDT,UNIUSDT,1.8938733155676557e-05
BIGTIMEUSDT,HAEDALUSDT,1.9224788813634868e-05
FIDAUSDT,PERPUSDT,1.9296607499989722e-05
PIXELUSDT,PORTALUSDT,1.9370502171461558e-05
ALTUSDT,CYBERUSDT,1.9374394021293774e-05
1000CATUSDT,VANAUSDT,1.9557758438946964e-05
BNTUSDT,RSRUSDT,2.0000043071292425e-05
ACXUSDT,LUMIAUSDT,2.0279504850252257e-05
ALTUSDT,WUSDT,2.035060356936894e-05
ALGOUSDT,IDEXUSDT,2.0688161150808364e-05
OXTUSDT,SXPUSDT,2.0921592943931363e-05
MAGICUSDT,NTRNUSDT,2.1018182765347067e-05
DOTUSDT,OXTUSDT,2.1969042318486337e-05
ARBUSDT,BLURUSDT,2.24163722214689e-05
MANTAUSDT,PORTALUSDT,2.360246522882582e-05
BLURUSDT,MAGICUSDT,2.373536646777118e-05
BEAMXUSDT,LUMIAUSDT,2.4451299571620057e-05
ARBUSDT,PIXELUSDT,2.5488165450920275e-05
NEOUSDT,ONTUSDT,2.5503970850428214e-05
CVXUSDT,SCRTUSDT,2.5587434763166475e-05
AMPUSDT,CHESSUSDT,2.601926254813323e-05
OSMOUSDT,PIXELUSDT,2.7578530567438673e-05
CATIUSDT,DOGSUSDT,2.7631141362935206e-05
FLOWUSDT,QUICKUSDT,2.8849543489390046e-05
BANDUSDT,RSRUSDT,2.9199232592110746e-05
1INCHUSDT,FLMUSDT,3.0294558240699643e-05
ACXUSDT,BEAMXUSDT,3.057948855059362e-05
ONTUSDT,THETAUSDT,3.1977393859807116e-05
KDAUSDT,TUSDT,3.203062605368728e-05
STRKUSDT,TIAUSDT,3.231132091208548e-05
DCRUSDT,SUSHIUSDT,3.485093725078769e-05
ASRUSDT,JUVUSDT,3.5903833225252024e-05
ETHFIUSDT,RONINUSDT,3.6499634660886525e-05
RIFUSDT,STRKUSDT,3.805234905546999e-05
MANTAUSDT,MAVUSDT,3.889560601784386e-05
AMPUSDT,SANDUSDT,3.919275823722967e-05
LISTAUSDT,SSVUSDT,4.242908570346639e-05
STGUSDT,XAIUSDT,4.346386976553054e-05
STGUSDT,STRKUSDT,4.382663268847323e-05
DASHUSDT,NEOUSDT,4.3867515720079216e-05
PIVXUSDT,VELODROMEUSDT,4.3920115400160754e-05
ALTUSDT,ETHFIUSDT,4.8655644574761825e-05
AXLUSDT,WLDUSDT,4.998179981286607e-05
METISUSDT,WOOUSDT,5.019047687454717e-05
MAGICUSDT,PIXELUSDT,5.204579417638932e-05
CAKEUSDT,MLNUSDT,5.270420198127395e-05
DOTUSDT,KSMUSDT,5.406790362759412e-05
CVXUSDT,SYSUSDT,5.997996532129116e-05
BEAMXUSDT,MEUSDT,6.334125602803967e-05
ANKRUSDT,STORJUSDT,6.461987743387279e-05
MANTAUSDT,RDNTUSDT,6.89179506549374e-05
FLMUSDT,ICXUSDT,6.964687335510566e-05
DCRUSDT,YFIUSDT,7.132611643978316e-05
METISUSDT,PYTHUSDT,7.238745978360063e-05
PIXELUSDT,RDNTUSDT,7.467468134023785e-05
ETHFIUSDT,WUSDT,7.717792573657526e-05
DUSKUSDT,ETHFIUSDT,7.74107834311965e-05
AXLUSDT,DYMUSDT,7.744887882524587e-05
AIUSDT,WOOUSDT,7.754440762463189e-05
ALTUSDT,RIFUSDT,7.923321271416131e-05
AMPUSDT,CRVUSDT,8.196528890793918e-05
BLURUSDT,MANTAUSDT,8.301674454118845e-05
FIDAUSDT,YGGUSDT,8.513972629975103e-05
MAGICUSDT,NFPUSDT,8.60600799309906e-05
NTRNUSDT,OSMOUSDT,8.632779894854151e-05
CYBERUSDT,STRKUSDT,8.924942953017496e-05
SNXUSDT,SUSHIUSDT,8.992644753356398e-05
ACEUSDT,MANTAUSDT,9.712231778741598e-05
AXLUSDT,MDTUSDT,0.00010108510676389089
ALCXUSDT,GALAUSDT,0.0001026478176912433
AIUSDT,OPUSDT,0.00010429059018178028
AXLUSDT,PIXELUSDT,0.00010701517997031936
NTRNUSDT,WOOUSDT,0.00010799062430999167
MDTUSDT,PIXELUSDT,0.00011033193652354982
EGLDUSDT,QIUSDT,0.00011144526528769952
DCRUSDT,ONTUSDT,0.00011427014997618093
BANDUSDT,ONTUSDT,0.00011707718458657114
RDNTUSDT,STRKUSDT,0.00012112423060631706
DCRUSDT,DGBUSDT,0.00012181191287543576
MAVUSDT,STRKUSDT,0.00012898004351798888
AXLUSDT,STRKUSDT,0.00013138352720785178
PYTHUSDT,VICUSDT,0.0001370314398356935
OSMOUSDT,TIAUSDT,0.00013721118044727722
NEOUSDT,SCUSDT,0.0001413817172141759
MAGICUSDT,MAVUSDT,0.00014681692325123092
CRVUSDT,ILVUSDT,0.00014755359597585447
LUMIAUSDT,MEUSDT,0.00015137573767328634
ACEUSDT,STRKUSDT,0.0001557331073218328
EIGENUSDT,VELODROMEUSDT,0.00015592405581279118
ASTRUSDT,MANTAUSDT,0.00015719425081166605
PROMUSDT,STRKUSDT,0.00016471047836430188
BANDUSDT,DASHUSDT,0.0001648268993586828
MEUSDT,POLUSDT,0.00016550422406855258
AIUSDT,MEMEUSDT,0.00016796911485271893
OMNIUSDT,RONINUSDT,0.0001697744830102107
AXLUSDT,PYTHUSDT,0.0001718868988713927
DYMUSDT,NFPUSDT,0.0001755426369334588
ARBUSDT,MANTAUSDT,0.00018203723894423052
NEIROUSDT,WIFUSDT,0.00018271889629006217
MAVUSDT,WUSDT,0.00018363531591928777
OMNIUSDT,WUSDT,0.0001863710372755981
GNSUSDT,RDNTUSDT,0.00019194995461869962
ALTUSDT,MANTAUSDT,0.0002059746577590191
AMPUSDT,ONEUSDT,0.00021616865447597546
AIUSDT,XAIUSDT,0.00021831704597262844
MAGICUSDT,XAIUSDT,0.0002215773377506107
ALTUSDT,MEMEUSDT,0.000229852575756586
ACEUSDT,PORTALUSDT,0.00023250990676137602
DYMUSDT,IMXUSDT,0.00023303054661550466
CVXUSDT,MANAUSDT,0.000249697979598852
MEMEUSDT,XAIUSDT,0.0002538589371554351
BEAMXUSDT,VELODROMEUSDT,0.0002585500168848317
GHSTUSDT,OMNIUSDT,0.0002697619237547634
IOTAUSDT,ONTUSDT,0.00027735191767317444
MAGICUSDT,MANTAUSDT,0.0002960108059979771
AXSUSDT,FIDAUSDT,0.0002961152357414135
METISUSDT,STGUSDT,0.0003183264740280705
PYTHUSDT,RIFUSDT,0.0003301926055671813
RDNTUSDT,STGUSDT,0.0003394912064191841
EIGENUSDT,MEUSDT,0.0003425043693505102
PORTALUSDT,WLDUSDT,0.0004098717472340881
AXLUSDT,MANTAUSDT,0.0004189253750641954
RONINUSDT,STGUSDT,0.00046824751291518404
AMPUSDT,MANAUSDT,0.0004752723125707555
AXLUSDT,RIFUSDT,0.0004966941208690955
LUMIAUSDT,VELODROMEUSDT,0.0004970989866286571
PYTHUSDT,STXUSDT,0.0005160574927874053
ACEUSDT,DYMUSDT,0.0005457125719459431
ADXUSDT,AMPUSDT,0.0005656645227641026
1MBABYDOGEUSDT,VANAUSDT,0.0005890527040577837
BNTUSDT,DCRUSDT,0.0005993589765123869
AXSUSDT,ILVUSDT,0.0006221159343360909
MAGICUSDT,STRKUSDT,0.0006254235007107737
AIUSDT,DYMUSDT,0.0006260549228280658
ALTUSDT,STGUSDT,0.0006332210074347079
AIUSDT,NTRNUSDT,0.0006369259440412994
GNSUSDT,MAGICUSDT,0.0006401040565848412
AIUSDT,RDNTUSDT,0.0006423745294335626
ACEUSDT,WOOUSDT,0.0006448117811229411
METISUSDT,NFPUSDT,0.000661956353397052
AEVOUSDT,ALTUSDT,0.0006688653769004803
DYMUSDT,XAIUSDT,0.0007043395952183781
AXLUSDT,NTRNUSDT,0.000740968268210621
WOOUSDT,XAIUSDT,0.0007434852698619255
BANANAUSDT,WIFUSDT,0.0007605582654216997
AIUSDT,MAGICUSDT,0.0007846291326424915
PIXELUSDT,WOOUSDT,0.0008276655745366612
FIDAUSDT,MLNUSDT,0.0008343613067042904
ACEUSDT,PIXELUSDT,0.0008439454976227639
ACXUSDT,MEUSDT,0.0008495831622867923
AIXBTUSDT,LQTYUSDT,0.0009468911666120233
GNSUSDT,HFTUSDT,0.00095880111250301
AXLUSDT,OSMOUSDT,0.0010586610835042515
ACEUSDT,AXLUSDT,0.0010619048369130747
POLUSDT,RENDERUSDT,0.0010892558404457717
MEMEUSDT,RONINUSDT,0.0011517339620122048
AXLUSDT,PORTALUSDT,0.0012089631305534096
AXLUSDT,BLURUSDT,0.0012938211058165993
MANTAUSDT,NTRNUSDT,0.0013942877535669783
GUSDT,NOTUSDT,0.001395045493919225
CYBERUSDT,RONINUSDT,0.0013961842262347729
LISTAUSDT,LUMIAUSDT,0.0014214064347469072
GUSDT,TONUSDT,0.0014227552448538969
AEVOUSDT,PORTALUSDT,0.0014558606937605197
COWUSDT,PENGUUSDT,0.0014579363399202028
APTUSDT,LUMIAUSDT,0.0014603844689735955
CYBERUSDT,TNSRUSDT,0.0014658621102759447
METISUSDT,NTRNUSDT,0.0014701671569322026
DYMUSDT,MANTAUSDT,0.0015139740624820492
AIUSDT,IMXUSDT,0.0015573267712154614
AXSUSDT,MOVRUSDT,0.0016666176021001087
ENAUSDT,VELODROMEUSDT,0.00176742214526029
MEUSDT,VELODROMEUSDT,0.001774259249089507
MAVUSDT,XAIUSDT,0.0020780746882099166
MEMEUSDT,METISUSDT,0.00218892006734601
IOUSDT,ZKUSDT,0.002256071956543827
LUMIAUSDT,POLUSDT,0.0022987306104997906
LUMIAUSDT,ZKUSDT,0.0023629973876966048
BBUSDT,EIGENUSDT,0.002395114268124382
ACEUSDT,NFPUSDT,0.0024472013180665123
AXLUSDT,NFPUSDT,0.002449735947055548
ARBUSDT,AXLUSDT,0.002515518597791578
IQUSDT,METISUSDT,0.0029987867444075775
MDTUSDT,METISUSDT,0.0031594307179051984
DYMUSDT,MAVUSDT,0.0032379519267732287
1MBABYDOGEUSDT,PENGUUSDT,0.003286025071583532
PIVXUSDT,RONINUSDT,0.0033110172882795854
BLURUSDT,DYMUSDT,0.0033995172459188676
PORTALUSDT,RDNTUSDT,0.0036792165414469115
OSMOUSDT,STRKUSDT,0.003894562731269219
DYMUSDT,OPUSDT,0.003905181257751208
METISUSDT,PIXELUSDT,0.004051931587443667
BLURUSDT,METISUSDT,0.00410032656864935
ASTRUSDT,STRKUSDT,0.004241446555940812
AIUSDT,ALTUSDT,0.004582467589793779
1000CATUSDT,ENAUSDT,0.004612088190830535
AIUSDT,BLURUSDT,0.004622567118246377
DYMUSDT,MAGICUSDT,0.004687637353469067
DYMUSDT,RDNTUSDT,0.0049670934748826286
DYMUSDT,PORTALUSDT,0.0050959727565525765
BEAMXUSDT,VANAUSDT,0.005120653839031909
ACEUSDT,AIUSDT,0.005212475203955024
ACXUSDT,VELODROMEUSDT,0.005260625453204844
ARBUSDT,DYMUSDT,0.005350907428320638
BBUSDT,PENGUUSDT,0.005627075151884619
EIGENUSDT,LUMIAUSDT,0.0056328442677724124
PIXELUSDT,PYTHUSDT,0.005756152322825431
METISUSDT,OPUSDT,0.005770515618253736
DOTUSDT,FIDAUSDT,0.006043034016461827
ALTUSDT,RDNTUSDT,0.006172547316138182
AIUSDT,METISUSDT,0.0062186721671322045
BEAMXUSDT,RENDERUSDT,0.006434545871329091
BLURUSDT,STRKUSDT,0.006923755128943696
IMXUSDT,METISUSDT,0.006994146248673827
IOUSDT,POLUSDT,0.006995579916412105
ALTUSDT,NFPUSDT,0.007298943984904987
MANTAUSDT,NFPUSDT,0.007453284435743076
BBUSDT,LUMIAUSDT,0.007783848959540185
STRKUSDT,WOOUSDT,0.008022809223643271
AIUSDT,AXLUSDT,0.00824190312343281
C98USDT,FIDAUSDT,0.008552067137434628
1000CATUSDT,BBUSDT,0.009440898032259063
ALTUSDT,XAIUSDT,0.009608805657967564
AEVOUSDT,PIXELUSDT,0.010322729328065302
OSMOUSDT,PORTALUSDT,0.010356337024733061
NTRNUSDT,PORTALUSDT,0.010473331353958365
MEMEUSDT,PORTALUSDT,0.010494798048445607
1000CATUSDT,SCRUSDT,0.010821329863543953
CETUSUSDT,TURBOUSDT,0.01102484085022718
ALTUSDT,VICUSDT,0.011185176616537878
POLUSDT,POLYXUSDT,0.011361575446586798
ALTUSDT,PORTALUSDT,0.011786564702966627
PIXELUSDT,RONINUSDT,0.011926515394744808
1000CATUSDT,BEAMXUSDT,0.012055308554183302
ARBUSDT,STRKUSDT,0.012083223599733456
LUMIAUSDT,REIUSDT,0.012324684083773029
MAVUSDT,METISUSDT,0.012334654391460528
AXLUSDT,WOOUSDT,0.012635073833831256
ARBUSDT,METISUSDT,0.012660887423047513
ACXUSDT,APTUSDT,0.013306653879937257
AEVOUSDT,VICUSDT,0.013407729571220437
ACEUSDT,ALTUSDT,0.013486929027505581
POLUSDT,ZKUSDT,0.013493688429552297
AIUSDT,MANTAUSDT,0.013677102665300082
PENGUUSDT,RENDERUSDT,0.013702999196424004
LUMIAUSDT,TONUSDT,0.013715214748233529
1MBABYDOGEUSDT,MEUSDT,0.015973883501750812
AEVOUSDT,STRKUSDT,0.015982446820488508
ACXUSDT,REIUSDT,0.016257650209119512
VANAUSDT,ZROUSDT,0.016604095884755445
BLURUSDT,RDNTUSDT,0.016773094227749828
METISUSDT,WLDUSDT,0.0173091698157475
MANTAUSDT,WOOUSDT,0.018078971309707294
AXLUSDT,OPUSDT,0.018268498137392973
AIUSDT,PORTALUSDT,0.01868615219912367
BLURUSDT,XAIUSDT,0.018719831819181652
SCRUSDT,VELODROMEUSDT,0.019026945156536926
MANTAUSDT,OPUSDT,0.020342889996826447
BEAMXUSDT,POLUSDT,0.021796034018122145
NEOUSDT,VETUSDT,0.02183464492006242
AEVOUSDT,WLDUSDT,0.022896489927603365
AXLUSDT,METISUSDT,0.023577473035551622
1000CATUSDT,1MBABYDOGEUSDT,0.025625200538121683
IMXUSDT,STRKUSDT,0.027507705592318177
MANTAUSDT,VICUSDT,0.02807563222383713
DYMUSDT,METISUSDT,0.028378481248080525
MANTAUSDT,METISUSDT,0.029756044557476168
ACXUSDT,THEUSDT,0.031176738214848038
ARBUSDT,PORTALUSDT,0.031397915083276384
HAEDALUSDT,SXTUSDT,0.03160758097375875
1000CATUSDT,ZROUSDT,0.03299850685976587
ACXUSDT,POLUSDT,0.034995698004024696
AXLUSDT,MEMEUSDT,0.03697083170665446
AXLUSDT,XAIUSDT,0.0379209028466802
1000CATUSDT,EIGENUSDT,0.03978714111562946
NFPUSDT,PORTALUSDT,0.041953887204762896
ACXUSDT,PHBUSDT,0.0448687894695387
METISUSDT,STRKUSDT,0.04536308181038939
